id,latitude,longitude,zipcode,accommodates,bathrooms,bedrooms,beds,nightly_price,price_per_stay,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,host_id,host_total_listings_count,number_of_reviews,number_of_stays,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,require_guest_profile_picture,require_guest_phone_verification
21999004,32.77948,-117.25263,92109,10,2.0,3.0,3.0,325.0,325.0,500.0,180.0,4,10.0,2,28,25519858,25.0,1,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
15193060,32.77744,-117.25255,92109,10,3.0,4.0,3.0,643.0,643.0,500.0,225.0,10,0.0,1,1125,60373371,25.0,12,24,98.0,9.0,9.0,10.0,10.0,10.0,9.0,0,0,0,0,0
19699771,32.80804,-117.25969,92109,10,3.0,4.0,6.0,639.0,639.0,1000.0,599.0,10,0.0,1,1125,122055416,403.0,7,14,89.0,10.0,10.0,9.0,9.0,10.0,9.0,0,1,0,0,0
19275538,32.81108,-117.1877,92111,10,2.0,3.0,5.0,319.0,319.0,500.0,180.0,5,25.0,2,14,36662186,1.0,11,22,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1,0,0,0
17975431,32.82976,-117.26986,92037,10,2.5,4.0,5.0,636.0,636.0,1000.0,499.0,10,0.0,1,1125,122055416,403.0,5,10,96.0,10.0,10.0,9.0,9.0,10.0,9.0,0,1,0,0,0
17975918,32.85212,-117.26051,92037,10,4.5,5.0,6.0,627.0,627.0,1000.0,599.0,10,0.0,1,1125,122055416,403.0,3,6,100.0,10.0,10.0,10.0,9.0,10.0,9.0,0,1,0,0,0
17879509,32.74782,-117.25148,92107,10,3.0,3.0,5.0,625.0,625.0,500.0,374.0,10,0.0,1,999,113421970,53.0,23,46,94.0,9.0,9.0,10.0,10.0,10.0,9.0,0,1,0,0,0
22225587,32.93286,-117.24705,92014,10,2.0,3.0,3.0,625.0,625.0,850.0,185.0,10,0.0,1,365,162283241,31.0,37,74,93.0,10.0,9.0,10.0,10.0,10.0,9.0,0,1,0,0,0
19051027,32.87252,-117.20275,92122,10,2.0,3.0,9.0,312.0,312.0,150.0,165.0,4,75.0,2,1125,78836518,6.0,65,130,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
585426,32.76517,-117.12635,92116,10,2.0,4.0,5.0,200.0,600.0,150.0,110.0,8,15.0,3,150,2885527,4.0,91,182,93.0,10.0,9.0,10.0,10.0,10.0,9.0,0,1,0,0,0
20946031,32.72826,-117.16415,92101,10,2.0,5.0,6.0,300.0,300.0,300.0,160.0,8,20.0,2,387,147702206,7.0,69,138,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0
23731718,32.73092,-117.17034,92101,10,2.0,3.0,4.0,300.0,300.0,350.0,155.0,1,0.0,2,1125,147063310,3.0,106,212,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
29263438,32.80945,-117.22802,92109,10,3.0,4.0,5.0,300.0,300.0,2000.0,289.0,8,55.0,2,30,101010941,2.0,16,32,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
22983076,32.70912,-117.15121,92101,10,3.0,3.0,7.0,599.0,599.0,300.0,130.0,1,0.0,1,1125,17981722,73.0,81,162,92.0,10.0,9.0,9.0,9.0,9.0,9.0,0,1,0,0,0
32871274,32.77144,-117.25313,92109,10,2.0,2.0,7.0,599.0,599.0,0.0,150.0,1,0.0,1,1125,247303075,1.0,13,26,91.0,8.0,9.0,9.0,10.0,10.0,9.0,0,1,0,0,0
33806045,32.73498,-117.16176,92101,10,1.5,2.0,3.0,299.0,598.0,250.0,130.0,8,10.0,2,1125,55287801,24.0,18,36,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0
26016201,32.72839,-117.16517,92101,10,1.0,2.0,5.0,199.0,597.0,250.0,129.0,6,40.0,3,1124,191135924,4.0,81,162,96.0,9.0,10.0,10.0,10.0,9.0,10.0,0,0,0,0,0
30154408,32.7645,-117.25107,92109,10,3.5,5.0,6.0,199.0,597.0,0.0,265.0,1,0.0,3,1125,91548283,64.0,21,42,97.0,10.0,9.0,10.0,10.0,10.0,9.0,0,1,0,0,0
18898449,32.76513,-117.25107,92109,10,2.5,3.0,7.0,595.0,595.0,0.0,325.0,6,0.0,1,365,88168913,168.0,20,40,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0,1,0,0,0
35980532,32.79001,-117.25359,92109,10,2.0,2.0,3.0,595.0,595.0,0.0,160.0,3,25.0,1,1125,67978523,9.0,0,0,94.1680236861584,9.608598962194218,9.455218356772761,9.812453669384729,9.796886582653817,9.885100074128985,9.318013343217197,0,0,0,0,0
